,db_id,original_sql
1,tpch,"SELECT ps.ps_comment AS ps_ps_comment, MIN(r.r_name) AS min_r_r_name, MAX(ps.ps_suppkey) AS max_ps_ps_suppkey, MAX(ps.ps_supplycost) AS max_ps_ps_supplycost, COUNT(ps.ps_availqty) AS count_ps_ps_availqty FROM partsupp ps, region r WHERE r.r_regionkey > (SELECT COUNT(DISTINCT p_partkey) FROM (SELECT p_partkey, p_name FROM part WHERE p_size > 20 ) t) AND EXISTS (SELECT p_brand FROM (SELECT p_brand FROM part WHERE p_partkey IN (SELECT ps_partkey FROM partsupp WHERE ps_supplycost < 8 ) UNION ALL SELECT p_brand FROM part WHERE p_size > 15) t GROUP BY p_brand ORDER BY p_brand) AND ps.ps_availqty > (SELECT COUNT(DISTINCT o_custkey) FROM (SELECT o_custkey FROM orders WHERE o_totalprice > 2000 UNION ALL SELECT c_custkey FROM customer WHERE c_acctbal < 3000) t JOIN nation ON n_nationkey = t.o_custkey) AND EXISTS (SELECT DISTINCT c_name FROM (SELECT c_name FROM customer UNION ALL SELECT n_name FROM nation) AS u_4 JOIN orders ON u_4.c_name = o_orderstatus) AND EXISTS (SELECT s_name FROM supplier WHERE s_suppkey IN (SELECT ps_suppkey FROM partsupp WHERE ps_availqty > 75 ) UNION SELECT s_name FROM supplier WHERE s_suppkey IN (SELECT ps_suppkey FROM partsupp WHERE ps_availqty < 75 ) ORDER BY s_name) AND ps.ps_partkey > 86171 AND ps.ps_partkey < 136803 AND ps.ps_suppkey > 5400 AND ps.ps_suppkey < 8332 AND ps.ps_availqty > 407 AND ps.ps_availqty < 8545 AND ps.ps_supplycost > 604.9211642304817 AND ps.ps_supplycost < 994.8928577595344 AND r.r_regionkey > 1 AND r.r_regionkey < 1  GROUP BY ps.ps_comment LIMIT 100;"
2,tpch,"SELECT AVG(p.p_partkey) AS avg_p_p_partkey, COUNT(p.p_size) AS count_p_p_size, MAX(s.s_comment) AS max_s_s_comment, COUNT(s.s_acctbal) AS count_s_s_acctbal, p.p_comment AS p_p_comment FROM part p, supplier s WHERE EXISTS (SELECT c_name FROM customer WHERE c_custkey IN (SELECT o_custkey FROM orders WHERE o_orderdate > '1995-01-01' ) UNION SELECT c_name FROM customer WHERE c_custkey IN (SELECT o_custkey FROM orders WHERE o_orderdate < '1995-01-01' ) ORDER BY c_name) AND EXISTS (SELECT DISTINCT ps_availqty FROM partsupp UNION SELECT l_quantity FROM lineitem UNION SELECT l_quantity FROM (SELECT DISTINCT l_quantity FROM lineitem AS l1_2 WHERE l_shipdate < '1995-01-01') AS subq_2) AND s.s_acctbal > (SELECT COUNT(*) FROM (SELECT c_address FROM customer UNION ALL SELECT s_address FROM supplier ) t) AND EXISTS (SELECT MAX(s_acctbal) FROM (SELECT s_acctbal, s_nationkey FROM supplier WHERE s_nationkey BETWEEN 1 AND 5 ) t GROUP BY s_nationkey ORDER BY s_nationkey) AND p.p_mfgr IN (SELECT DISTINCT p_mfgr FROM part UNION SELECT s_name FROM supplier UNION SELECT s_name FROM (SELECT DISTINCT s_name FROM supplier AS s1_5 WHERE s_acctbal < 5000) AS subq_5) AND s.s_name LIKE 'Supplier#000005515%' AND p.p_partkey < 16219 AND p.p_name LIKE 'bisque antique orange misty pale%' AND p.p_size > 49 AND p.p_container LIKE 'SM PKG%' AND p.p_type LIKE 'LARGE BRUSHED TIN%' AND p.p_mfgr LIKE 'Manufacturer#2%' AND s.s_nationkey > 15 AND s.s_suppkey >= 8624 AND p.p_brand LIKE 'Brand#21%'  GROUP BY p.p_comment LIMIT 100;"
3,tpch,"SELECT p.p_mfgr AS p_p_mfgr, MIN(p.p_mfgr) AS min_p_p_mfgr, AVG(p.p_retailprice) AS avg_p_p_retailprice, MAX(p.p_container) AS max_p_p_container, COUNT(p.p_comment) AS count_p_p_comment FROM part p WHERE EXISTS (SELECT DISTINCT c_mktsegment FROM customer UNION SELECT p_container FROM part UNION SELECT p_container FROM (SELECT DISTINCT p_container FROM part AS p1_1 WHERE p_size > 5) AS subq_1) AND EXISTS (SELECT o_orderstatus FROM (SELECT o_orderstatus, o_orderdate FROM orders ) AS subq_2 UNION SELECT n_comment FROM nation) AND EXISTS (SELECT p_brand FROM (SELECT p_brand FROM part WHERE p_partkey IN (SELECT l_partkey FROM lineitem WHERE l_shipdate > '1996-12-31' UNION SELECT l_partkey FROM lineitem WHERE l_discount > 0.1) UNION ALL SELECT p_brand FROM part WHERE p_partkey IN (SELECT l_partkey FROM lineitem WHERE l_returnflag = 'A' UNION ALL SELECT l_partkey FROM lineitem WHERE l_shipmode = 'TRUCK')) t GROUP BY p_brand) AND EXISTS (SELECT s_4.s_phone FROM supplier s_4 WHERE s_4.s_suppkey IN (SELECT ps_4.ps_suppkey FROM partsupp ps_4 WHERE ps_4.ps_supplycost > 150 UNION ALL SELECT ps2_4.ps_suppkey FROM partsupp ps2_4 WHERE ps2_4.ps_availqty > 200 GROUP BY ps2_4.ps_suppkey) AND s_4.s_acctbal < 4000) AND p.p_mfgr IN (SELECT p_mfgr FROM (SELECT p_mfgr, p_size FROM part WHERE p_size = 10 ) AS subq_5 WHERE p_size > 9 ORDER BY p_size) AND p.p_partkey > 161005 AND p.p_partkey < 178790 AND p.p_name LIKE 'seashell dim light navajo blush%' AND p.p_mfgr LIKE 'Manufacturer#5%' AND p.p_brand LIKE 'Brand#44%' AND p.p_type LIKE 'STANDARD ANODIZED BRASS%' AND p.p_size > 27 AND p.p_size < 28 AND p.p_container LIKE 'WRAP PACK%' AND p.p_retailprice < 1318.4503718162937  GROUP BY p.p_mfgr LIMIT 50;"
4,tpch,"SELECT COUNT(l.l_comment) AS count_l_l_comment, MIN(l.l_comment) AS min_l_l_comment, MAX(l.l_partkey) AS max_l_l_partkey, SUM(l.l_discount) AS sum_l_l_discount, COUNT(c.c_address) AS count_c_c_address FROM customer c, lineitem l, nation n WHERE n.n_name IN (SELECT n_name FROM (SELECT n_name, n_regionkey FROM nation ) AS subq_1 UNION SELECT p_container FROM part) AND EXISTS (SELECT l_linestatus FROM (SELECT l_linestatus FROM lineitem WHERE l_orderkey IN (SELECT o_orderkey FROM orders WHERE o_orderdate > '1997-01-01' ) UNION ALL SELECT l_linestatus FROM lineitem WHERE l_tax > 0.02) t GROUP BY l_linestatus ORDER BY l_linestatus) AND EXISTS (SELECT n_comment FROM (SELECT n_comment FROM nation WHERE n_nationkey IN (SELECT c_nationkey FROM customer WHERE c_acctbal < 3000 UNION SELECT s_nationkey FROM supplier WHERE s_acctbal > 2000) UNION ALL SELECT n_comment FROM nation WHERE n_nationkey IN (SELECT c_nationkey FROM customer WHERE c_mktsegment = 'BUILDING' UNION ALL SELECT s_nationkey FROM supplier WHERE s_phone LIKE '30%')) t GROUP BY n_comment) AND l.l_partkey = (SELECT COUNT(DISTINCT c_custkey) FROM customer JOIN (SELECT o_custkey FROM orders WHERE o_totalprice > 1500 UNION ALL SELECT o_custkey FROM orders WHERE o_orderdate > '1996-01-01') AS subq_4 ON customer.c_custkey = subq_4.o_custkey) AND c.c_comment IN (SELECT c_comment FROM (SELECT c_comment, c_nationkey FROM customer WHERE c_nationkey = 5 ) AS subq_5 WHERE c_nationkey > 4 ORDER BY c_nationkey) AND n.n_nationkey = c.c_nationkey AND n.n_regionkey > 2 AND c.c_custkey <= 119772 AND l.l_tax = 0.02747559329872846 AND l.l_discount < 0.055878172004113984 AND l.l_shipmode LIKE 'FOB%' AND l.l_returnflag LIKE 'R%' AND n.n_name LIKE 'EGYPT%' AND c.c_nationkey >= 21 AND l.l_suppkey <= 4621 AND l.l_shipdate > '1994-01-31'  LIMIT 100;"
5,tpch,"SELECT COUNT(p.p_type) AS count_p_p_type, MAX(p.p_name) AS max_p_p_name, MIN(p.p_partkey) AS min_p_p_partkey, MAX(p.p_type) AS max_p_p_type, MIN(p.p_retailprice) AS min_p_p_retailprice FROM part p WHERE EXISTS (SELECT n_name FROM (SELECT n_name, n_regionkey FROM nation WHERE n_regionkey = 1 ) AS subq_1 WHERE n_regionkey > 0 ORDER BY n_regionkey) AND EXISTS (SELECT DISTINCT p_name FROM part UNION SELECT s_comment FROM supplier UNION SELECT s_comment FROM (SELECT DISTINCT s_comment FROM supplier AS s1_2 WHERE s_acctbal > 3000) AS subq_2) AND EXISTS (SELECT DISTINCT o_orderpriority FROM orders UNION SELECT l_returnflag FROM lineitem UNION SELECT l_returnflag FROM (SELECT DISTINCT l_returnflag FROM lineitem AS l1_3 WHERE l_quantity > 20) AS subq_3) AND p.p_retailprice = (SELECT COUNT(DISTINCT o_orderkey) FROM orders JOIN (SELECT c_custkey FROM customer WHERE c_mktsegment = 'AUTOMOBILE' UNION ALL SELECT c_custkey FROM customer WHERE c_acctbal > 1000) AS cust_union_4 ON orders.o_custkey = cust_union_4.c_custkey) AND EXISTS (SELECT COUNT(*) FROM (SELECT p_name FROM part UNION SELECT p_type FROM (SELECT p_type, COUNT(*) FROM part GROUP BY p_type HAVING COUNT(*) > 6) AS subq_5) AS t_5) AND p.p_partkey > 20680 AND p.p_partkey < 25973 AND p.p_name LIKE 'cornflower navajo indian bisque dark%' AND p.p_mfgr LIKE 'Manufacturer#3%' AND p.p_brand LIKE 'Brand#42%' AND p.p_type LIKE 'PROMO PLATED TIN%' AND p.p_size > 3 AND p.p_size < 4 AND p.p_container LIKE 'MED CASE%' AND p.p_retailprice <= 2047.6190918105565  LIMIT 10;"
6,tpch,"SELECT COUNT(p.p_partkey) AS count_p_p_partkey, MAX(p.p_partkey) AS max_p_p_partkey, MIN(o.o_clerk) AS min_o_o_clerk, COUNT(p.p_type) AS count_p_p_type, COUNT(p.p_container) AS count_p_p_container FROM orders o, part p WHERE EXISTS (SELECT SUM(l_extendedprice) FROM (SELECT l_extendedprice, l_returnflag FROM lineitem JOIN orders ON l_orderkey = o_orderkey WHERE o_orderpriority = '1-URGENT' UNION SELECT l_extendedprice, l_returnflag FROM lineitem JOIN orders ON l_orderkey = o_orderkey WHERE o_orderstatus = 'F' AND o_custkey IN (SELECT c_custkey FROM customer WHERE c_acctbal > 1000)) AS subq_1 GROUP BY l_returnflag) AND EXISTS (SELECT COUNT(o_orderkey) FROM (SELECT o_orderkey, o_orderpriority FROM orders JOIN customer ON o_custkey = c_custkey WHERE c_mktsegment = 'AUTOMOBILE' UNION SELECT o_orderkey, o_orderpriority FROM orders JOIN lineitem ON o_orderkey = l_orderkey WHERE l_quantity < 10 AND l_shipdate IN (SELECT l_shipdate FROM lineitem WHERE l_receiptdate > '1997-01-01')) AS subq_2 GROUP BY o_orderpriority) AND EXISTS (SELECT DISTINCT p_brand FROM part UNION SELECT s_phone FROM supplier UNION SELECT s_phone FROM (SELECT DISTINCT s_phone FROM supplier AS s1_3 WHERE s_nationkey = 3) AS subq_3) AND p.p_retailprice = (SELECT COUNT(*) FROM (SELECT p_brand FROM part UNION ALL SELECT n_name FROM nation ) t) AND o.o_totalprice IN (SELECT DISTINCT o_totalprice FROM orders UNION SELECT DISTINCT c_acctbal FROM customer WHERE c_mktsegment = 'BUILDING' UNION SELECT DISTINCT l_extendedprice FROM lineitem WHERE l_discount > 0.18) AND p.p_partkey = 72505 AND p.p_retailprice = 1303.1123915382427 AND p.p_mfgr LIKE 'Manufacturer#5%' AND o.o_orderkey > 4244010 AND o.o_totalprice > 549233.7504660367 AND o.o_orderstatus LIKE 'F%' AND p.p_type LIKE 'MEDIUM POLISHED BRASS%' AND p.p_brand LIKE 'Brand#13%' AND o.o_orderpriority LIKE '4-NOT SPECIFIED%' AND o.o_orderdate <= '1993-02-09'  LIMIT 50;"
7,tpch,"SELECT MIN(n.n_comment) AS min_n_n_comment, COUNT(l.l_partkey) AS count_l_l_partkey, COUNT(l.l_quantity) AS count_l_l_quantity, MAX(l.l_linestatus) AS max_l_l_linestatus, COUNT(l.l_receiptDATE) AS count_l_l_receiptDATE FROM lineitem l, nation n, region r WHERE EXISTS (SELECT AVG(l_quantity) FROM (SELECT l_quantity, l_linestatus FROM lineitem WHERE l_shipdate > '1995-03-01' UNION ALL SELECT l_quantity, l_linestatus FROM lineitem WHERE l_shipdate <= '1995-03-01' GROUP BY l_quantity, l_linestatus) t JOIN (SELECT o_orderkey, o_totalprice FROM orders) o ON t.l_quantity = o.o_orderkey GROUP BY o.o_totalprice) AND EXISTS (SELECT SUM(l_extendedprice) FROM (SELECT l_extendedprice, l_shipinstruct FROM lineitem JOIN orders ON l_orderkey = o_orderkey WHERE o_orderpriority = '2-HIGH' UNION SELECT l_extendedprice, l_shipinstruct FROM lineitem JOIN orders ON l_orderkey = o_orderkey WHERE o_orderstatus = 'P' AND o_custkey IN (SELECT c_custkey FROM customer WHERE c_acctbal < 500)) AS subq_2 GROUP BY l_shipinstruct) AND r.r_comment IN (SELECT DISTINCT r_comment FROM region UNION SELECT p_comment FROM part UNION SELECT p_comment FROM (SELECT DISTINCT p_comment FROM part AS p1_3 WHERE p_retailprice > 100) AS subq_3) AND n.n_name IN (SELECT DISTINCT n_name FROM nation UNION SELECT c_name FROM customer UNION SELECT c_name FROM (SELECT DISTINCT c_name FROM customer AS c1_4 WHERE c_acctbal < 2000) AS subq_4) AND l.l_extendedprice > (SELECT COUNT(*) FROM (SELECT o_totalprice FROM orders UNION ALL SELECT l_extendedprice FROM lineitem ) t) AND n.n_regionkey = r.r_regionkey AND r.r_name LIKE 'AMERICA%' AND n.n_regionkey <= 3 AND l.l_returnflag LIKE 'A%' AND l.l_shipmode LIKE 'SHIP%' AND l.l_commitdate > '1993-09-03' AND r.r_regionkey = 3 AND l.l_tax = 0.0670204000646908 AND l.l_suppkey > 6445 AND l.l_receiptdate > '1996-04-05' AND l.l_linestatus LIKE 'O%'  LIMIT 50;"
8,tpch,"SELECT MIN(c.c_nationkey) AS min_c_c_nationkey, COUNT(s.s_comment) AS count_s_s_comment, COUNT(s.s_phone) AS count_s_s_phone, SUM(s.s_suppkey) AS sum_s_s_suppkey, SUM(s.s_acctbal) AS sum_s_s_acctbal FROM customer c, supplier s WHERE c.c_phone IN (SELECT c_phone FROM (SELECT c_phone, c_acctbal FROM customer WHERE c_acctbal = 1000 ) AS subq_1 WHERE c_acctbal > 500 ORDER BY c_acctbal) AND EXISTS (SELECT DISTINCT p_mfgr FROM part UNION SELECT s_name FROM supplier UNION SELECT s_name FROM (SELECT DISTINCT s_name FROM supplier AS s1_2 WHERE s_acctbal < 5000) AS subq_2) AND c.c_custkey > (SELECT COUNT(DISTINCT n_nationkey) FROM nation JOIN (SELECT s_nationkey FROM supplier WHERE s_acctbal > 3000 UNION ALL SELECT s_nationkey FROM supplier WHERE s_comment LIKE '%excellent%') AS subq_3 ON nation.n_nationkey = subq_3.s_nationkey) AND s.s_nationkey = (SELECT COUNT(DISTINCT p_partkey) FROM (SELECT p_partkey, p_name FROM part WHERE p_size > 20 ) t) AND c.c_acctbal = (SELECT (16 * 4) + COUNT(DISTINCT p_partkey) FROM part WHERE p_container IN (SELECT l_shipmode FROM lineitem WHERE l_returnflag = 'N')) AND c.c_custkey > 70643 AND c.c_custkey < 93986 AND c.c_name LIKE 'Customer#000015893%' AND c.c_nationkey > 3 AND c.c_nationkey < 18 AND c.c_acctbal > 62.695729400134496 AND c.c_acctbal < 6944.497417126958 AND c.c_mktsegment LIKE 'HOUSEHOLD%' AND s.s_suppkey > 3896 AND s.s_suppkey < 5020  LIMIT 50;"
9,tpch,"SELECT AVG(c.c_acctbal) AS avg_c_c_acctbal, COUNT(o.o_comment) AS count_o_o_comment, MAX(c.c_mktsegment) AS max_c_c_mktsegment, MIN(c.c_phone) AS min_c_c_phone, MAX(o.o_comment) AS max_o_o_comment FROM customer c, orders o, region r WHERE EXISTS (SELECT l_shipmode FROM (SELECT l_shipmode, l_orderkey FROM lineitem WHERE l_orderkey = 8 ) AS subq_1 WHERE l_orderkey > 7 ORDER BY l_orderkey) AND EXISTS (SELECT COUNT(*) FROM (SELECT p_partkey FROM part UNION SELECT ps_partkey FROM (SELECT ps_partkey, COUNT(*) FROM partsupp GROUP BY ps_partkey HAVING COUNT(*) > 3) AS subq_2) AS t_2) AND c.c_name IN (SELECT c_name FROM customer WHERE c_custkey IN (SELECT o_custkey FROM orders WHERE o_orderdate > '1995-01-01' UNION SELECT c_custkey FROM customer WHERE c_acctbal > 1000) AND c_nationkey IN (SELECT n_nationkey FROM nation JOIN region ON n_regionkey = r_regionkey WHERE r_name = 'ASIA')) AND r.r_comment IN (SELECT DISTINCT r_comment FROM region UNION SELECT p_comment FROM part UNION SELECT p_comment FROM (SELECT DISTINCT p_comment FROM part AS p1_4 WHERE p_retailprice > 100) AS subq_4) AND o.o_custkey > (SELECT COUNT(*) FROM (SELECT s_suppkey FROM supplier WHERE s_nationkey IN (SELECT n_nationkey FROM nation WHERE n_regionkey = 3) UNION ALL SELECT ps_suppkey FROM partsupp WHERE ps_supplycost < 300) t) AND c.c_custkey = o.o_custkey AND o.o_custkey < 61834 AND o.o_orderpriority LIKE '4-NOT SPECIFIED%' AND o.o_orderkey < 74702 AND c.c_name LIKE 'Customer#000022237%' AND c.c_acctbal <= 8326.917235693052 AND o.o_orderstatus LIKE 'P%' AND r.r_name LIKE 'AMERICA%' AND c.c_mktsegment LIKE 'HOUSEHOLD%' AND c.c_custkey > 1572 AND o.o_orderdate <= '1994-04-20'  LIMIT 50;"
10,tpch,"SELECT COUNT(l.l_tax) AS count_l_l_tax, MAX(l.l_receiptDATE) AS max_l_l_receiptDATE, MAX(l.l_discount) AS max_l_l_discount, MIN(l.l_extendedprice) AS min_l_l_extendedprice, SUM(l.l_quantity) AS sum_l_l_quantity FROM lineitem l WHERE EXISTS (SELECT DISTINCT s_name FROM supplier UNION SELECT p_name FROM part UNION SELECT p_name FROM (SELECT DISTINCT p_name FROM part AS p1_1 WHERE p_size > 10) AS subq_1) AND EXISTS (SELECT DISTINCT p_name FROM part UNION SELECT s_comment FROM supplier UNION SELECT s_comment FROM (SELECT DISTINCT s_comment FROM supplier AS s1_2 WHERE s_acctbal > 3000) AS subq_2) AND EXISTS (SELECT MIN(ps_supplycost) FROM (SELECT ps_supplycost, ps_suppkey FROM partsupp WHERE ps_availqty < 30 ) t GROUP BY ps_suppkey ORDER BY ps_suppkey) AND l.l_orderkey IN (SELECT DISTINCT l_orderkey FROM lineitem UNION SELECT o_orderkey FROM orders WHERE o_orderdate > '1995-01-01') AND l.l_suppkey > (SELECT COUNT(DISTINCT p_size) FROM part JOIN (SELECT ps_partkey FROM partsupp UNION ALL SELECT ps_partkey FROM partsupp WHERE ps_supplycost < 10) AS partsupp_union_5 ON part.p_partkey = partsupp_union_5.ps_partkey) AND l.l_shipmode LIKE 'SHIP%' AND l.l_shipinstruct LIKE 'DELIVER IN PERSON%' AND l.l_returnflag LIKE 'A%' AND l.l_quantity < 27.754931148728105 AND l.l_extendedprice = 55192.130690681 AND l.l_linestatus LIKE 'O%' AND l.l_shipdate <= '1996-12-17' AND l.l_linenumber > 5 AND l.l_receiptdate > '1992-11-27' AND l.l_discount >= 0.021461656160225752  LIMIT 50;"
